round,date,home_team,away_team,home_score,away_score,stadium,stage
14,06/25/2019,Dalkurd,Västerås SK FK,1,6,Gavlevallen,
15,07/10/2019,Varbergs BoIS FC,Degerfors IF,1,0,Påskbergsvallen A,
15,07/13/2019,Trelleborgs FF,Syrianska FC,1,2,"Vångavallen, Trelleborg A-plan",
15,07/13/2019,Örgryte IS FF,Östers IF,2,0,Gamla Ullevi,
15,07/13/2019,IK Frej Täby,Mjällby AIF,1,2,Vikingavallen/Täby IP 1,
15,07/13/2019,IK Brage,IF Brommapojkarna,3,1,Domnarvsvallen,
15,07/14/2019,GAIS,Dalkurd,1,5,Gamla Ullevi,
15,07/14/2019,Norrby IF,Halmstad,0,1,Borås Arena,
15,07/16/2019,Västerås SK FK,Jönköpings Södra IF,2,2,Solid Park Arena,
16,07/20/2019,IF Brommapojkarna,Norrby IF,3,1,Hammarby IP 1,
16,07/20/2019,Dalkurd,Varbergs BoIS FC,1,0,Gavlevallen,
16,07/20/2019,Degerfors IF,GAIS,0,1,Stora Valla,
16,07/20/2019,Syrianska FC,IK Brage,0,2,Södertälje Fotbollsarena,
16,07/20/2019,IK Frej Täby,Örgryte IS FF,1,1,Vikingavallen/Täby IP 1,
16,07/21/2019,Mjällby AIF,Halmstad,2,0,Strandvallen A-plan,
16,07/21/2019,Östers IF,Trelleborgs FF,0,2,Myresjöhus Arena 1,
16,07/23/2019,Jönköpings Södra IF,Västerås SK FK,2,1,Stadsparksvallen,
17,07/25/2019,Halmstad,IF Brommapojkarna,2,2,Örjans Vall,
17,07/27/2019,Trelleborgs FF,IK Frej Täby,1,0,"Vångavallen, Trelleborg A-plan",
17,07/27/2019,IK Brage,Mjällby AIF,1,2,Domnarvsvallen,
17,07/27/2019,Norrby IF,Östers IF,3,1,Borås Arena,
17,07/27/2019,GAIS,Syrianska FC,0,1,Gamla Ullevi,
17,07/27/2019,Jönköpings Södra IF,Degerfors IF,1,1,Stadsparksvallen,
17,07/28/2019,Västerås SK FK,Dalkurd,1,1,Solid Park Arena,
17,07/28/2019,Varbergs BoIS FC,Örgryte IS FF,1,2,Påskbergsvallen A,
18,08/01/2019,Mjällby AIF,Norrby IF,1,1,Strandvallen A-plan,
18,08/03/2019,Dalkurd,Jönköpings Södra IF,0,2,Gavlevallen,
18,08/03/2019,Degerfors IF,Varbergs BoIS FC,3,1,Stora Valla,
